TIME,LATITUDE,LONGITUDE,TYPE,TAC,PCI,ECI,EARFCN,RSSI,RSRP,RSRQ,SINR,NID,BID,SID,CDMADBM,CDMAECIO
20230228 11:39:28.772,31.287611,121.21003,LTE,59463,97,243855185,1650,-69,-69,-6,19.0,14,8956,13840,-75,-12.8
20230228 11:39:29.041,31.287611,121.21003,LTE,59463,97,243855185,1650,-69,-69,-6,9.0,14,8956,13840,-75,-12.8
20230228 11:39:29.694,31.28759,121.210017,LTE,59463,97,243855185,1650,-69,-69,-6,9.0,14,8956,13840,-75,-12.8
20230228 11:39:29.952,31.28759,121.210017,LTE,59463,97,243855185,1650,-71,-69,-6,9.0,14,8956,13840,-75,-12.8
20230228 11:39:30.674,31.287571,121.210006,LTE,59463,97,243855185,1650,-71,-69,-6,9.0,14,8956,13840,-75,-12.8
20230228 11:39:31.688,31.287555,121.209999,LTE,59463,97,243855185,1650,-71,-69,-6,9.0,14,8956,13840,-75,-12.8
20230228 11:39:32.322,31.287555,121.209999,LTE,59463,97,243855185,1650,-77,-69,-6,9.0,14,8956,13840,-75,-12.8
20230228 11:39:32.731,31.287542,121.209994,LTE,59463,97,243855185,1650,-77,-69,-6,9.0,14,8956,13840,-75,-12.8
20230228 11:39:33.709,31.287532,121.20999,LTE,59463,97,243855185,1650,-77,-69,-6,9.0,14,8956,13840,-75,-12.8
20230228 11:39:34.685,31.287532,121.20999,LTE,59463,97,243855185,1650,-81,-69,-6,9.0,14,8956,13840,-75,-12.8
20230228 11:39:34.710,31.287522,121.209988,LTE,59463,97,243855185,1650,-81,-69,-6,9.0,14,8956,13840,-75,-12.8
20230228 11:39:35.117,31.287522,121.209988,LTE,59463,97,243855185,1650,-81,-74,-6,9.0,14,8956,13840,-76,-12.8
20230228 11:39:35.857,31.28751,121.209982,LTE,59463,97,243855185,1650,-81,-74,-6,9.0,14,8956,13840,-76,-12.8
20230228 11:39:36.627,31.287497,121.209978,LTE,59463,97,243855185,1650,-81,-74,-6,9.0,14,8956,13840,-76,-12.8
20230228 11:39:37.043,31.287497,121.209978,LTE,59463,97,243855185,1650,-87,-74,-6,9.0,14,8956,13840,-76,-12.8
20230228 11:39:37.709,31.287487,121.209973,LTE,59463,97,243855185,1650,-87,-74,-6,9.0,14,8956,13840,-76,-12.8
20230228 11:39:38.721,31.287475,121.209965,LTE,59463,97,243855185,1650,-87,-74,-6,9.0,14,8956,13840,-76,-12.8
20230228 11:39:39.390,31.287475,121.209965,LTE,59463,97,243855185,1650,-85,-74,-6,9.0,14,8956,13840,-76,-12.8
20230228 11:39:39.693,31.287462,121.209959,LTE,59463,97,243855185,1650,-85,-74,-6,9.0,14,8956,13840,-76,-12.8
20230228 11:39:40.757,31.28745,121.209953,LTE,59463,97,243855185,1650,-85,-74,-6,9.0,14,8956,13840,-76,-12.8
20230228 11:39:41.140,31.28745,121.209953,LTE,59463,97,243855185,1650,-85,-79,-6,9.0,14,8956,13840,-78,-12.8
20230228 11:39:41.789,31.287441,121.209946,LTE,59463,97,243855185,1650,-85,-79,-6,9.0,14,8956,13840,-78,-12.8
20230228 11:39:42.687,31.287432,121.209941,LTE,59463,97,243855185,1650,-85,-79,-6,9.0,14,8956,13840,-78,-12.8
20230228 11:39:43.692,31.287424,121.209937,LTE,59463,97,243855185,1650,-85,-79,-6,9.0,14,8956,13840,-78,-12.8
20230228 11:39:44.130,31.287424,121.209937,LTE,59463,97,243855185,1650,-87,-79,-6,9.0,14,8956,13840,-78,-12.8
20230228 11:39:44.760,31.287416,121.209931,LTE,59463,97,243855185,1650,-87,-79,-6,9.0,14,8956,13840,-78,-12.8
20230228 11:39:45.781,31.287408,121.209925,LTE,59463,97,243855185,1650,-87,-79,-6,9.0,14,8956,13840,-78,-12.8
20230228 11:39:46.684,31.2874,121.209918,LTE,59463,97,243855185,1650,-87,-79,-6,9.0,14,8956,13840,-78,-12.8
20230228 11:39:47.125,31.2874,121.209918,LTE,59463,97,243855185,1650,-87,-83,-6,9.0,14,8956,13840,-79,-12.8
20230228 11:39:47.701,31.287392,121.209909,LTE,59463,97,243855185,1650,-87,-83,-6,9.0,14,8956,13840,-79,-12.8
20230228 11:39:48.977,31.287392,121.209909,LTE,59463,163,244270623,1650,-93,-83,-6,9.0,14,8956,13840,-79,-12.8
20230228 11:39:48.983,31.287383,121.209901,LTE,59463,163,244270623,1650,-93,-83,-6,9.0,14,8956,13840,-79,-12.8
20230228 11:39:49.160,31.287383,121.209901,LTE,59463,163,244270623,1650,-93,-83,-6,9.0,14,13076,13840,-79,-12.8
20230228 11:39:49.624,31.287377,121.209894,LTE,59463,163,244270623,1650,-93,-83,-6,9.0,14,13076,13840,-79,-12.8
20230228 11:39:50.750,31.287368,121.209887,LTE,59463,163,244270623,1650,-93,-83,-6,9.0,14,13076,13840,-79,-12.8
20230228 11:39:51.501,31.287368,121.209887,LTE,59463,163,244270623,1650,-85,-83,-6,9.0,14,13076,13840,-79,-12.8
20230228 11:39:51.573,31.287368,121.209887,LTE,59463,163,244270623,1650,-83,-83,-6,9.0,14,13076,13840,-79,-12.8
20230228 11:39:51.643,31.28736,121.209879,LTE,59463,163,244270623,1650,-83,-83,-6,9.0,14,13076,13840,-79,-12.8
20230228 11:39:52.686,31.28736,121.209879,LTE,59463,163,244270623,1650,-83,-83,-6,9.0,14,13076,13840,-79,-12.8
20230228 11:39:52.703,31.28735,121.209871,LTE,59463,163,244270623,1650,-83,-83,-6,9.0,14,13076,13840,-79,-12.8
20230228 11:39:53.127,31.28735,121.209871,LTE,59463,163,244270623,1650,-83,-86,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:54.060,31.28735,121.209871,LTE,59463,60,13073675,1650,-89,-86,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:54.067,31.287338,121.209862,LTE,59463,60,13073675,1650,-89,-86,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:54.695,31.287327,121.209852,LTE,59463,60,13073675,1650,-89,-86,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:55.663,31.287315,121.209844,LTE,59463,60,13073675,1650,-89,-86,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:56.698,31.287315,121.209844,LTE,59463,417,10562887,1650,-85,-86,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:56.845,31.287305,121.209837,LTE,59463,417,10562887,1650,-85,-86,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:57.853,31.287305,121.209837,LTE,59463,417,10562887,1650,-85,-86,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:57.858,31.287294,121.209829,LTE,59463,417,10562887,1650,-85,-86,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:58.684,31.287282,121.20982,LTE,59463,417,10562887,1650,-85,-86,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:59.026,31.287282,121.20982,LTE,59463,163,10562887,1650,-91,-86,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:59.145,31.287282,121.20982,LTE,59463,163,10562887,1650,-91,-88,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:39:59.685,31.287271,121.209812,LTE,59463,163,10562887,1650,-91,-88,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:40:00.743,31.28726,121.209803,LTE,59463,163,10562887,1650,-91,-88,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:40:01.401,31.28726,121.209803,LTE,59463,417,10562887,1650,-89,-88,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:40:01.684,31.287249,121.209793,LTE,59463,417,10562887,1650,-89,-88,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:40:02.753,31.287238,121.209783,LTE,59463,417,10562887,1650,-89,-88,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:40:03.774,31.287238,121.209783,LTE,59463,417,10562887,1650,-83,-88,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:40:03.784,31.287228,121.209774,LTE,59463,417,10562887,1650,-83,-88,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:40:04.748,31.287218,121.209764,LTE,59463,417,10562887,1650,-83,-88,-6,9.0,14,13076,13840,-80,-12.8
20230228 11:40:05.159,31.287218,121.209764,LTE,59463,417,10562887,1650,-83,-81,-6,9.0,14,13076,13840,-80,-12.8
