TIME,LATITUDE,LONGITUDE,TYPE,TAC,PCI,ECI,EARFCN,RSSI,RSRP,RSRQ,SINR,NID,BID,SID,CDMADBM,CDMAECIO
20230228 14:07:20.856,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-79.0,-73,-9,11.0,14,8956,13840,-73,-4.6
20230228 14:07:20.862,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-79.0,-73,-9,11.0,14,8956,13840,-73,-4.6
20230228 14:07:21.948,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-71.0,-73,-9,11.0,14,8956,13840,-73,-4.6
20230228 14:07:21.953,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-71.0,-73,-9,11.0,14,8956,13840,-73,-4.6
20230228 14:07:22.865,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-71.0,-73,-9,11.0,14,8956,13840,-73,-4.6
20230228 14:07:23.712,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-71.0,-73,-9,11.0,14,8956,13840,-73,-4.6
20230228 14:07:24.315,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-77.0,-73,-9,11.0,14,8956,13840,-73,-4.6
20230228 14:07:24.805,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-77.0,-73,-9,11.0,14,8956,13840,-73,-4.6
20230228 14:07:25.843,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-77.0,-73,-9,11.0,14,8956,13840,-73,-4.6
20230228 14:07:26.819,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-77.0,-75,-9,11.0,14,8956,13840,-75,-4.6
20230228 14:07:26.822,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-77.0,-75,-9,11.0,14,8956,13840,-75,-4.6
20230228 14:07:27.877,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-77.0,-75,-9,11.0,14,8956,13840,-75,-4.6
20230228 14:07:27.882,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-77.0,-75,-9,11.0,14,8956,13840,-75,-4.6
20230228 14:07:28.820,31.287874,121.210408,LTE,23996.0,65.0,96612659.0,1850.0,-77.0,-75,-9,11.0,14,8956,13840,-75,-4.6
