# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1678.54,1480.56,2.0,0.0,-27.6046,-27.00754,-24.68353,8.315648,-27.00753,-58.39641,-11.38888,19.0
2,1676.55,1480.37,2.0,2.0,-22.7061,-22.01963,-22.32765,7.663841,-22.01962,-53.49791,-11.47829,19.0
3,1674.55,1480.34,2.0,4.0,-22.1858,-21.88923,-21.85787,11.5073,-21.88922,-52.97762,-11.08839,19.0
4,1672.55,1480.4,2.0,6.0,-24.4838,-23.63934,-21.45395,6.682948,-23.63933,-55.27561,-11.63628,19.0
5,1670.55,1480.47,2.0,8.0,-32.0435,-30.6403,-31.19562,4.186074,-30.64027,-62.83531,-12.19504,19.0
6,1668.55,1480.51,2.0,10.0,-30.6129,-28.93499,-26.73309,3.264158,-28.93497,-61.40471,-12.46974,11.0
7,1666.55,1480.45,2.0,12.0,-24.8736,-23.01189,-29.38882,2.714658,-23.01189,-55.66541,-12.65353,19.0
8,1664.57,1480.2,2.0,14.0,-25.188,-23.53913,-25.27608,3.35549,-23.53913,-55.97981,-12.44068,19.0
9,1662.65,1479.64,2.0,16.0,-19.7824,-19.55075,-20.83334,12.61315,-19.55075,-50.57421,-11.02346,19.0
10,1660.93,1478.64,2.0,18.0,-19.4835,-18.84193,-18.89676,7.980661,-18.84193,-50.27531,-11.43338,19.0
11,1659.58,1477.18,2.0,20.0,-16.8667,-16.71458,-16.0729,14.47974,-16.71458,-47.65851,-10.94393,19.0
12,1661.13,1477.6,2.0,22.0,-20.4633,-19.638,-22.23717,6.79251,-19.63799,-51.25511,-11.61712,19.0
13,1662.95,1478.42,2.0,24.0,-17.6424,-17.48626,-19.63629,14.36424,-17.48626,-48.43422,-10.94796,19.0
14,1664.89,1478.86,2.0,26.0,-20.8346,-20.0331,-26.07164,6.931891,-20.0331,-51.62641,-11.59331,19.0
15,1666.47,1477.88,2.0,28.0,-19.8195,-19.63585,-18.17011,13.64574,-19.63585,-50.61131,-10.97546,19.0
16,1666.58,1475.91,2.0,30.0,-19.8811,-19.76868,-19.73487,15.813,-19.76868,-50.67291,-10.90423,19.0
17,1666.16,1473.95,2.0,32.0,-17.095,-16.97756,-18.23014,15.62096,-16.97756,-47.88681,-10.90925,19.0
18,1665.54,1472.05,2.0,34.0,-14.88,-14.74562,-15.80489,15.02724,-14.74562,-45.67181,-10.92619,19.0
19,1664.8,1470.19,2.0,36.0,-15.6119,-15.42193,-16.94127,13.49569,-15.42193,-46.40371,-10.98178,19.0
20,1664.0,1468.36,2.0,38.0,-15.0149,-14.73328,-12.58884,11.73953,-14.73327,-45.80671,-11.07344,19.0
21,1663.15,1466.55,2.0,40.0,-16.1016,-15.59091,-17.84843,9.038449,-15.59091,-46.89341,-11.3025,19.0
22,1662.27,1464.76,2.0,42.0,-16.5561,-16.14875,-20.62346,10.07289,-16.14875,-47.34791,-11.19916,19.0
23,1661.35,1462.98,2.0,44.0,-15.2212,-14.93962,-15.4464,11.74022,-14.93962,-46.01301,-11.0734,19.0
24,1660.41,1461.21,2.0,46.0,-16.8101,-16.61065,-17.06015,13.27932,-16.61065,-47.60192,-10.99127,19.0
25,1659.46,1459.46,2.0,48.0,-15.0219,-14.98335,-14.94702,20.49857,-14.98335,-45.81371,-10.83036,19.0
26,1658.48,1457.71,2.0,50.0,-18.6891,-18.53972,-19.69404,14.56011,-18.53972,-49.48091,-10.94119,19.0
27,1657.49,1455.98,2.0,52.0,-25.2937,-24.783,-24.14024,9.038292,-24.78299,-56.08551,-11.30252,19.0
28,1656.49,1454.25,2.0,54.0,-24.5329,-24.44421,-23.6452,16.85434,-24.4442,-55.32471,-10.88051,19.0
29,1655.48,1452.52,2.0,56.0,-19.5661,-19.38119,-18.61797,13.61549,-19.38119,-50.35791,-10.97672,19.0
30,1654.46,1450.8,2.0,58.0,-22.6756,-22.26858,-26.94203,10.07657,-22.26858,-53.46741,-11.19883,19.0
31,1653.43,1449.09,2.0,60.0,-27.2892,-25.22999,-27.05369,2.17059,-25.22998,-58.08101,-12.85104,19.0
32,1652.4,1447.38,2.0,62.0,-23.5811,-23.08028,-23.28497,9.128199,-23.08028,-54.37291,-11.29263,19.0
33,1651.36,1445.67,2.0,64.0,-18.9932,-18.66801,-17.41279,11.09287,-18.66801,-49.78501,-11.117,19.0
34,1650.33,1443.96,2.0,66.0,-19.3195,-17.32553,-15.21402,2.345594,-17.32553,-50.11131,-12.78578,8.0
35,1649.29,1442.25,2.0,68.0,-14.3318,-12.09768,-10.6509,1.721929,-12.09768,-45.12361,-13.02594,8.0
36,1648.24,1440.55,2.0,70.0,-11.9558,-10.15195,-21.80347,2.882726,-10.15195,-42.74761,-12.59567,11.0
37,1647.2,1438.84,2.0,72.0,-12.8895,-10.60245,-9.087341,1.591495,-10.60245,-43.68131,-13.07886,11.0
38,1646.15,1437.14,2.0,74.0,-13.3,-10.48244,-13.87856,0.3944301,-10.48244,-44.09181,-13.60937,11.0
39,1645.1,1435.44,2.0,76.0,-14.6365,-12.35041,-9.636474,1.593825,-12.35041,-45.42831,-13.07791,11.0
40,1644.05,1433.74,2.0,78.0,-15.0206,-13.31935,-15.20999,3.191793,-13.31935,-45.81241,-12.49307,11.0
41,1643.0,1432.04,2.0,80.0,-18.2803,-15.28369,-14.80525,0.02741729,-15.28369,-49.07211,-13.78843,11.0
42,1641.94,1430.34,2.0,82.0,-14.6265,-11.61843,-11.8181,0.004465155,-11.61843,-45.41831,-13.79988,19.0
43,1640.89,1428.64,2.0,84.0,-19.0143,-15.11162,-18.50444,-1.632286,-15.11162,-49.80611,-14.6945,11.0
44,1639.83,1426.95,2.0,86.0,-17.5997,-14.47911,-18.08217,-0.2178618,-14.4791,-48.39151,-13.91241,11.0
45,1638.78,1425.25,2.0,88.0,-17.8203,-13.99662,-14.7206,-1.498184,-13.99662,-48.61211,-14.61549,11.0
46,1637.72,1423.56,2.0,90.0,-18.0223,-14.69529,-13.14289,-0.6118805,-14.69529,-48.81411,-14.11882,11.0
47,1636.66,1421.86,2.0,92.0,-17.9846,-14.30452,-12.89944,-1.249927,-14.30453,-48.77641,-14.47189,11.0
48,1635.6,1420.17,2.0,94.0,-18.2318,-14.29081,-30.24064,-1.696704,-14.29081,-49.02361,-14.7328,11.0
49,1634.54,1418.47,2.0,96.0,-17.7753,-14.23018,-11.14882,-1.010934,-14.23018,-48.56711,-14.33693,11.0
50,1633.47,1416.78,2.0,98.0,-17.9131,-13.65729,-19.18655,-2.212281,-13.65729,-48.70491,-15.04762,11.0
51,1632.41,1415.08,2.0,100.0,-16.1048,-12.35423,-14.17411,-1.372548,-12.35423,-46.89661,-14.54238,19.0
52,1631.35,1413.39,2.0,102.0,-12.8975,-10.64324,-11.59348,1.672014,-10.64324,-43.68931,-13.04608,19.0
53,1630.28,1411.7,2.0,104.0,-13.0326,-10.72914,-18.07766,1.551528,-10.72914,-43.82441,-13.09527,19.0
