# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1955.96,2045.73,2.0,0.0,-61.8553,-61.40833,-62.06838,9.278491,-61.3706,-92.64711,-11.27651,17.0
2,1955.86,2043.73,2.0,2.0,-63.1946,-61.19062,-58.26322,2.222029,-61.15473,-93.98641,-12.83169,17.0
3,1955.76,2041.74,2.0,4.0,-64.593,-61.93906,-62.65403,0.6519239,-61.89644,-95.38481,-13.48837,17.0
4,1955.66,2039.74,2.0,6.0,-65.4322,-65.25488,-63.86685,11.95772,-65.16395,-96.22401,-11.06006,17.0
5,1955.57,2037.74,2.0,8.0,-65.52851,-63.17113,-64.103,1.287996,-63.11463,-96.32032,-13.20569,17.0
6,1955.47,2035.74,2.0,10.0,-65.633,-62.63518,-62.27249,-0.07468031,-62.5852,-96.42481,-13.83961,17.0
7,1955.37,2033.75,2.0,12.0,-67.4539,-66.81524,-65.45796,7.132568,-66.68557,-98.24571,-11.56014,8.0
8,1955.28,2031.75,2.0,14.0,-67.4337,-67.22233,-68.06268,10.7152,-67.08014,-98.22551,-11.14538,8.0
9,1955.18,2029.75,2.0,16.0,-63.8614,-62.27783,-64.85994,3.416728,-62.23178,-94.65321,-12.42143,12.0
10,1955.08,2027.76,2.0,18.0,-65.0365,-64.92042,-65.38192,13.25973,-64.83616,-95.82831,-10.99215,12.0
11,1954.99,2025.76,2.0,20.0,-86.5156,-81.37944,-81.96922,-7.068472,-78.66834,-117.3074,-18.63907,12.0
12,1954.89,2023.76,2.0,22.0,-78.3099,-74.70855,-81.82573,-2.353092,-73.96559,-109.1017,-15.13612,20.0
13,1954.8,2021.76,2.0,24.0,-77.7388,-77.26513,-76.8657,3.097093,-76.00663,-108.5306,-12.52399,12.0
14,1954.7,2019.77,2.0,26.0,-64.9709,-64.70251,-63.94154,10.7795,-64.62233,-95.76272,-11.14038,12.0
15,1954.61,2017.77,2.0,28.0,-62.0696,-61.8924,-61.57849,12.85615,-61.85024,-92.86141,-11.01117,12.0
16,1954.51,2015.77,2.0,30.0,-61.0839,-60.98078,-61.24625,14.93136,-60.94657,-91.87571,-10.92914,12.0
17,1954.41,2013.78,2.0,32.0,-54.4351,-53.69093,-55.65588,7.243191,-53.68452,-85.22691,-11.54239,8.0
18,1954.32,2011.78,2.0,34.0,-54.0786,-53.31145,-59.34437,7.103727,-53.30558,-84.87041,-11.56483,8.0
19,1954.22,2009.78,2.0,36.0,-54.0141,-51.69938,-51.4591,1.514408,-51.69533,-84.80591,-13.11059,8.0
20,1954.13,2007.78,2.0,38.0,-54.0651,-51.41103,-55.54161,0.7360289,-51.40724,-84.85692,-13.44967,8.0
21,1954.03,2005.79,2.0,40.0,-54.0703,-51.26157,-53.8777,0.4052534,-51.2579,-84.86211,-13.60421,8.0
22,1953.94,2003.79,2.0,42.0,-53.9992,-51.42045,-47.48934,0.9022945,-51.41665,-84.79101,-13.37435,8.0
23,1953.84,2001.79,2.0,44.0,-53.9314,-50.8551,-55.07715,-0.1375712,-50.85177,-84.72321,-13.87144,8.0
24,1953.74,1999.79,2.0,46.0,-54.03811,-51.75956,-52.82982,1.602255,-51.75546,-84.82992,-13.07446,8.0
25,1953.64,1997.8,2.0,48.0,-53.9743,-52.10913,-52.14205,2.691986,-52.10468,-84.76612,-12.66144,8.0
26,1953.55,1995.8,2.0,50.0,-54.2383,-53.44724,-52.83237,6.957986,-53.44119,-85.03011,-11.58893,8.0
27,1953.45,1993.8,2.0,52.0,-51.0878,-50.76769,-53.25598,11.11806,-50.76442,-81.87961,-11.11519,8.0
28,1953.35,1991.81,2.0,54.0,-59.1937,-57.32053,-55.3507,2.639883,-57.30577,-89.98551,-12.67974,8.0
29,1953.25,1989.81,2.0,56.0,-53.3027,-52.71078,-51.24806,8.315907,-52.70566,-84.09451,-11.38885,8.0
30,1953.15,1987.81,2.0,58.0,-51.3187,-50.61663,-48.29121,7.537166,-50.61347,-82.11052,-11.49704,8.0
31,1953.05,1985.81,2.0,60.0,-59.4051,-59.08457,-60.48983,10.8567,-59.06243,-90.19691,-11.13448,8.0
32,1952.95,1983.82,2.0,62.0,-53.7216,-53.51794,-53.21034,13.05419,-53.51179,-84.51341,-11.00163,8.0
33,1952.85,1981.82,2.0,64.0,-60.57569,-59.5953,-62.40378,5.842617,-59.57041,-91.36751,-11.7971,8.0
34,1952.75,1979.82,2.0,66.0,-60.6882,-60.07981,-57.70226,8.019878,-60.05199,-91.48001,-11.42802,8.0
35,1952.64,1977.83,2.0,68.0,-56.8904,-56.81274,-57.22105,16.75162,-56.7996,-87.68221,-10.88261,12.0
36,1952.54,1975.83,2.0,70.0,-68.6726,-68.13407,-68.21164,7.483722,-67.95932,-99.46441,-11.50509,12.0
37,1952.43,1973.83,2.0,72.0,-61.5727,-61.24528,-59.793,10.58637,-61.20893,-92.36452,-11.15559,12.0
38,1952.32,1971.84,2.0,74.0,-70.1134,-69.22232,-65.57996,5.338575,-68.99906,-100.9052,-11.90616,11.0
39,1952.21,1969.84,2.0,76.0,-66.3245,-64.64821,-62.72955,3.02663,-64.56903,-97.11631,-12.54729,12.0
40,1952.1,1967.84,2.0,78.0,-71.691,-68.36082,-75.06193,-0.9551797,-68.1769,-102.4828,-14.30591,11.0
41,1951.99,1965.85,2.0,80.0,-73.0905,-71.48996,-70.82152,2.409657,-71.12,-103.8823,-12.76231,12.0
42,1951.87,1963.85,2.0,82.0,-71.2372,-69.86147,-67.14442,3.404789,-69.60385,-102.029,-12.42517,12.0
43,1951.75,1961.85,2.0,84.0,-78.6818,-75.15872,-74.31961,-2.346257,-74.34182,-109.4736,-15.1318,12.0
44,1951.64,1959.86,2.0,86.0,-71.1676,-69.4766,-67.33372,2.528936,-69.24024,-101.9594,-12.71918,12.0
45,1951.53,1957.86,2.0,88.0,-67.9379,-66.4919,-63.65551,3.621832,-66.37142,-98.72971,-12.35829,12.0
46,1951.41,1955.87,2.0,90.0,-63.1198,-62.82669,-61.86872,10.82165,-62.77447,-93.91161,-11.13715,12.0
47,1951.3,1953.87,2.0,92.0,-63.39149,-60.5001,-57.14086,0.1783725,-60.46947,-94.18331,-13.71384,12.0
48,1951.18,1951.87,2.0,94.0,-59.3359,-57.94199,-72.71314,4.158207,-57.92496,-90.12771,-12.20275,12.0
49,1951.06,1949.88,2.0,96.0,-64.1675,-60.89418,-60.9457,-0.5741464,-60.86065,-94.95931,-14.09866,12.0
50,1950.94,1947.88,2.0,98.0,-58.0289,-56.13887,-52.71053,2.60211,-56.12762,-88.82071,-12.69309,8.0
51,1950.82,1945.88,2.0,100.0,-57.6512,-56.52148,-58.08341,5.217663,-56.50919,-88.44301,-11.93382,8.0
52,1950.69,1943.89,2.0,102.0,-57.217,-56.74691,-54.57975,9.294376,-56.73397,-88.00881,-11.27484,8.0
53,1950.56,1941.89,2.0,104.0,-56.5191,-56.26082,-56.22247,11.93108,-56.24925,-87.31091,-11.06166,8.0
54,1950.43,1939.9,2.0,106.0,-57.2904,-56.72749,-58.13901,8.484147,-56.71461,-88.08221,-11.3676,8.0
55,1950.28,1937.9,2.0,108.0,-65.32431,-62.44721,-64.03289,0.1723654,-62.39933,-96.11612,-13.71679,8.0
